,target
0,-0.05016602457648789
1,-0.03826055630209955
2,-0.008107531793617595
3,-0.05634116462373525
4,0.024511145599304982
5,-0.033097110229729214
6,-0.009061555703329704
7,-0.05888219001207505
8,-0.04900515729464147
9,-0.0667821660747117
10,-0.0695009789939771
11,-0.0841458040269186
12,-0.018014512853324022
13,0.16360340136270182
14,-0.06783079816630977
15,-0.04287095850204568
16,-0.0704064881773697
17,-0.046839797904426515
18,-0.025777239151591268
19,-0.047540424128994466
20,-0.025068970514143044
21,0.19192604877268712
22,0.17636894075536527
23,0.022430051436969346
24,-0.012703229882399223
25,-0.03971567514580446
26,0.042831084104595775
27,0.14908726206800574
28,-0.03894490681554204
29,-0.028122648051577576
30,0.06992839135425802
31,-0.054115973613952185
32,-0.04529037448538949
33,-0.015439801248619246
34,-0.07277343568586425
35,-0.03644952527132066
36,-0.07001856849119785
37,-0.05532898088486221
38,-0.09107993764379463
39,0.055679001304715564
40,0.09374327924779254
41,-0.03778739337999727
42,0.0018891099899014845
43,0.1635076027522525
44,-0.06575798027150163
45,-0.06860956645210765
46,-0.07737162333786113
47,-0.05565910224361505
48,0.13675243229625478
49,-0.06743703560500232
50,-0.06956241646026676
51,-0.04152880604508844
52,-0.06507856062253782
53,-0.06268835195204463
54,0.1371853489465011
55,-0.03235288522105166
56,-0.09307363699966496
57,-0.06196027063929952
58,-0.035981291297143905
59,-0.04748760900432864
60,-0.02842020539927537
61,-0.0023793455705181155
62,-0.0486923389517265
63,0.13950303550360593
64,-0.0030701830740864837
65,-0.05854535369544158
66,-0.06140148789209683
67,0.15214260967132082
68,-0.05950042028896432
69,0.1840461291309297
70,-0.02236453818424552
71,0.06585838294610928
72,-0.03287436588753234
73,-0.041789202329511194
74,-0.07390285556507749
75,-0.039502814523037826
76,-0.04313200825589169
77,-0.03695714243117407
78,0.011393462964336225
79,-0.028304743464340854
80,0.10066882299634301
81,-0.03315537501493444
82,0.03253729789097724
83,0.0039903428701505836
84,-0.0740934350760554
85,-0.06620221727440415
86,-0.00048064423123440913
87,0.05777600412683942
88,0.012692048276661474
89,-0.07012262918707407
90,-0.04197580210151592
91,-0.036085892014056535
92,0.033828006013884346
93,-0.035869130299650484
94,0.016990569276035632
95,-0.05501723393334264
96,-0.05662523876844867
97,-0.05166608976166742
98,-0.02287131406248911
99,-0.023181531450073213
100,0.10595421180905808
101,-0.005915560677442144
102,0.017176517830133027
103,-0.03204557947219254
104,-0.07978563054578483
105,-0.011494591854847932
106,-0.05585408240611913
107,-0.025358669252513826
108,-0.08936541790558211
109,-0.010149189626537127
110,3.6364913956491915e-07
111,-0.0695009789939771
112,-0.015289860683217986
113,-0.04104695257978038
114,0.12288814701192649
115,-0.06278435935026161
116,0.027444240090045292
117,-0.015424289792156133
118,-0.0042296546057614395
119,-0.020604041764214178
120,0.1403813243771529
121,-0.04789012515336144
122,0.18766465819046177
123,-0.00889648556140172
124,0.11565768434363338
125,-0.018093125770037403
126,-0.012345147218880186
127,-0.048071569647356205
128,-0.005203712297446757
129,-0.05663642751629416
130,-0.02630048156235775
131,0.04442329296848597
132,-0.06250833078629106
133,-0.04749022898408217
134,-0.03388099223129667
135,0.14762486916927395
136,-0.029878148455072587
137,0.005286904386016861
138,-0.04180965675651964
139,-0.04725971848099123
140,-0.06866039964394802
141,-0.02574794651740099
142,-0.01990969388236857
143,-0.032716237902410523
144,0.00013651676724899084
145,-0.025867031299040433
146,0.1132577496669937
147,-0.07109575028167545
148,-0.07885128231685004
149,-0.07276691898424037
150,-0.062077859866756235
151,1.3282946504901837e-05
152,-0.04336432039617328
153,-0.08333402184436142
154,0.04313958150461344
155,-0.032565463327273635
156,-0.053612549404069065
157,-0.013470264528827906
158,0.12948997308208862
159,-0.08160741966296758
160,-0.030468039574225732
