,target
0,-0.043373176469432895
1,-0.053127904724558216
2,-0.005547323140067465
3,-0.045504135601206884
4,0.011563527076181825
5,-0.02945606822946332
6,-0.003733754280995641
7,-0.051452453002637746
8,-0.042672701883762806
9,-0.06520700079528247
10,-0.06097854800844123
11,-0.08837476650426891
12,-0.024974465584556422
13,0.16715210677934902
14,-0.06420212141907543
15,-0.035168492935374315
16,-0.0631895118183048
17,-0.05427783629912615
18,-0.019770059196003657
19,-0.043872278176167595
20,-0.015112263083116534
21,0.19822668198328267
22,0.18651820769335337
23,0.003919794220077057
24,-0.009383450045512656
25,-0.03166392957128631
26,0.03953530738081642
27,0.15334861458654933
28,-0.03923891312925841
29,-0.027080149100582044
30,0.05074621459715448
31,-0.06377316827803815
32,-0.030963621849053238
33,-0.012707594932930215
34,-0.06499884289437882
35,-0.03322715719281527
36,-0.08960559890080287
37,-0.05710043705129751
38,-0.08339935709582891
39,0.04483929736826225
40,0.07566299754713665
41,-0.03610310486385396
42,-0.0017203751967065297
43,0.16876707726472698
44,-0.0427047519654573
45,-0.06367126838343258
46,-0.07450750451620215
47,-0.04385589596606055
48,0.11598944798175675
49,-0.06919332532621911
50,-0.055736865254653496
51,-0.033348008614456685
52,-0.07217080903980755
53,-0.062208710434694656
54,0.12243693679378134
55,-0.033788956656061096
56,-0.075342688872821
57,-0.05298976210589264
58,-0.05202719985787493
59,-0.044705520885880895
60,-0.04204223516047417
61,-0.012154445307041493
62,-0.04307435445689542
63,0.13947693506701725
64,-0.006709029044107703
65,-0.05417821144579901
66,-0.06029136482069874
67,0.15166006696882453
68,-0.06730429056446545
69,0.1702173058294296
70,-0.013760870132255477
71,0.0527399027976225
72,-0.029317763326170254
73,-0.04412142687714479
74,-0.05236770788947411
75,-0.037112254569582406
76,-0.04128239958364776
77,-0.024903526510361523
78,0.0052681779381869055
79,-0.03470552201505841
80,0.09931922083352716
81,-0.017513061460608034
82,0.027524472082158188
83,-0.005937649446005261
84,-0.07245176327379121
